Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-20 00:00:00-05:00,13.680000305175781,14.130000114440918,13.28499984741211,13.9399995803833,291300,0.0,0.0
2019-12-23 00:00:00-05:00,14.069999694824219,14.9399995803833,14.069999694824219,14.890000343322754,378600,0.0,0.0
2019-12-24 00:00:00-05:00,14.90999984741211,15.5,14.649999618530273,15.0600004196167,223200,0.0,0.0
2019-12-26 00:00:00-05:00,15.0600004196167,15.109999656677246,14.15999984741211,14.489999771118164,232100,0.0,0.0
2019-12-27 00:00:00-05:00,14.609999656677246,14.670000076293945,12.779999732971191,13.239999771118164,376300,0.0,0.0
2019-12-30 00:00:00-05:00,13.239999771118164,13.289999961853027,12.390000343322754,13.050000190734863,308600,0.0,0.0
2019-12-31 00:00:00-05:00,13.069999694824219,13.154999732971191,12.630000114440918,12.899999618530273,275900,0.0,0.0
2020-01-02 00:00:00-05:00,12.979999542236328,13.0,12.010000228881836,12.5,346200,0.0,0.0
2020-01-03 00:00:00-05:00,12.380000114440918,12.569999694824219,12.109999656677246,12.369999885559082,197500,0.0,0.0
2020-01-06 00:00:00-05:00,12.329999923706055,12.569999694824219,11.862000465393066,12.550000190734863,255700,0.0,0.0
2020-01-07 00:00:00-05:00,12.510000228881836,12.86400032043457,12.460000038146973,12.800000190734863,171700,0.0,0.0
2020-01-08 00:00:00-05:00,12.800000190734863,13.038999557495117,12.699999809265137,12.899999618530273,235100,0.0,0.0
2020-01-09 00:00:00-05:00,12.960000038146973,13.890000343322754,12.880000114440918,13.550000190734863,502000,0.0,0.0
2020-01-10 00:00:00-05:00,13.819999694824219,14.0,13.5600004196167,13.869999885559082,362200,0.0,0.0
2020-01-13 00:00:00-05:00,13.949999809265137,14.199999809265137,13.729999542236328,13.880000114440918,300700,0.0,0.0
2020-01-14 00:00:00-05:00,13.899999618530273,13.899999618530273,13.140000343322754,13.380000114440918,191200,0.0,0.0
2020-01-15 00:00:00-05:00,13.4399995803833,14.199999809265137,13.4399995803833,14.050000190734863,286800,0.0,0.0
2020-01-16 00:00:00-05:00,14.149999618530273,14.520000457763672,13.75,14.3100004196167,431700,0.0,0.0
2020-01-17 00:00:00-05:00,14.369999885559082,14.369999885559082,13.5,13.699999809265137,207800,0.0,0.0
2020-01-21 00:00:00-05:00,13.699999809265137,13.960000038146973,13.649999618530273,13.850000381469727,156500,0.0,0.0
2020-01-22 00:00:00-05:00,13.899999618530273,14.199999809265137,13.850000381469727,13.970000267028809,223000,0.0,0.0
2020-01-23 00:00:00-05:00,13.90999984741211,13.960000038146973,13.706999778747559,13.789999961853027,85800,0.0,0.0
2020-01-24 00:00:00-05:00,13.84000015258789,13.84000015258789,12.40999984741211,12.960000038146973,290000,0.0,0.0
2020-01-27 00:00:00-05:00,12.5600004196167,12.9399995803833,12.0,12.569999694824219,176800,0.0,0.0
2020-01-28 00:00:00-05:00,12.569999694824219,13.020000457763672,12.220000267028809,12.979999542236328,155400,0.0,0.0
2020-01-29 00:00:00-05:00,13.0,13.5,12.82699966430664,13.3100004196167,185000,0.0,0.0
2020-01-30 00:00:00-05:00,13.180000305175781,13.59000015258789,12.850000381469727,13.510000228881836,189300,0.0,0.0
2020-01-31 00:00:00-05:00,13.569999694824219,13.760000228881836,13.079999923706055,13.380000114440918,141600,0.0,0.0
2020-02-03 00:00:00-05:00,13.319999694824219,13.470000267028809,13.010000228881836,13.229999542236328,124800,0.0,0.0
2020-02-04 00:00:00-05:00,13.260000228881836,14.199999809265137,13.260000228881836,13.899999618530273,380600,0.0,0.0
